"","bin","prop","lwr","upr","cases","midpoint","spl","method","mod","weights"
"84","(0.169,1]",0.5,0.187086028447399,0.812913971552601,5,0.584711187452071,"3","linear","cils","equal"
"85","[0,0.0208]",0.0909090909090909,0.00229897221381427,0.412779916988383,1,0.0103980878777661,"4","linear","cils","equal"
"86","(0.0208,0.0416]",0.1,0.00252857854446179,0.445016117028195,1,0.0312045110226602,"4","linear","cils","equal"
"87","(0.0416,0.188]",0.4,0.121552258119827,0.737621923393055,4,0.11472071021292,"4","linear","cils","equal"
"88","(0.188,1]",0.5,0.187086028447399,0.812913971552601,5,0.593914287068026,"4","linear","cils","equal"
"89","[0,0.0283]",0,0,0.284914152918154,0,0.0141664053495109,"5","linear","cils","equal"
"90","(0.0283,0.0663]",0,0,0.308497107818761,0,0.0473091565358254,"5","linear","cils","equal"
"91","(0.0663,0.142]",0,0,0.308497107818761,0,0.104014307044167,"5","linear","cils","equal"
"92","(0.142,1]",0.3,0.0667395111777345,0.652452850059997,3,0.570871555857853,"5","linear","cils","equal"
"93","[0,0.0474]",0,0,0.284914152918154,0,0.0237034245532919,"6","linear","cils","equal"
"94","(0.0474,0.0816]",0,0,0.308497107818761,0,0.0645154006575853,"6","linear","cils","equal"
"95","(0.0816,0.196]",0.2,0.0252107263268334,0.556095462307641,2,0.13898777460708,"6","linear","cils","equal"
"96","(0.196,1]",0.4,0.121552258119827,0.737621923393055,4,0.598175798502786,"6","linear","cils","equal"
"97","[0,0.0209]",0,0,0.284914152918154,0,0.0104634256059428,"1","log-linear","cils","equal"
"98","(0.0209,0.0667]",0,0,0.308497107818761,0,0.043812569489798,"1","log-linear","cils","equal"
"99","(0.0667,0.126]",0.1,0.00252857854446179,0.445016117028195,1,0.0965248234526699,"1","log-linear","cils","equal"
"100","(0.126,1]",0.3,0.0667395111777345,0.652452850059997,3,0.563175679568815,"1","log-linear","cils","equal"
"101","[0,0.0222]",0,0,0.284914152918154,0,0.0111121207593773,"2","log-linear","cils","equal"
"102","(0.0222,0.0494]",0,0,0.308497107818761,0,0.0358297625994317,"2","log-linear","cils","equal"
"103","(0.0494,0.137]",0,0,0.308497107818761,0,0.0929825796830175,"2","log-linear","cils","equal"
"104","(0.137,1]",0.5,0.187086028447399,0.812913971552601,5,0.568264937842963,"2","log-linear","cils","equal"
"105","[0,0.028]",0.0909090909090909,0.00229897221381427,0.412779916988383,1,0.0139955983445957,"3","log-linear","cils","equal"
"106","(0.028,0.0677]",0.2,0.0252107263268334,0.556095462307641,2,0.0478503504702532,"3","log-linear","cils","equal"
"107","(0.0677,0.171]",0.1,0.00252857854446179,0.445016117028195,1,0.119540458284957,"3","log-linear","cils","equal"
"108","(0.171,1]",0.5,0.187086028447399,0.812913971552601,5,0.5856857061593,"3","log-linear","cils","equal"
"109","[0,0.0211]",0.0909090909090909,0.00229897221381427,0.412779916988383,1,0.0105338187821807,"4","log-linear","cils","equal"
"110","(0.0211,0.0417]",0.1,0.00252857854446179,0.445016117028195,1,0.0313693976333431,"4","log-linear","cils","equal"
"111","(0.0417,0.196]",0.4,0.121552258119827,0.737621923393055,4,0.118780716484108,"4","log-linear","cils","equal"
"112","(0.196,1]",0.5,0.187086028447399,0.812913971552601,5,0.597945137632946,"4","log-linear","cils","equal"
"113","[0,0.0283]",0,0,0.284914152918154,0,0.0141710570317811,"5","log-linear","cils","equal"
"114","(0.0283,0.067]",0,0,0.308497107818761,0,0.0476905380542264,"5","log-linear","cils","equal"
"115","(0.067,0.144]",0,0,0.308497107818761,0,0.105412610880518,"5","log-linear","cils","equal"
"116","(0.144,1]",0.3,0.0667395111777345,0.652452850059997,3,0.571893129858073,"5","log-linear","cils","equal"
"117","[0,0.051]",0,0,0.284914152918154,0,0.0255075499229254,"6","log-linear","cils","equal"
"118","(0.051,0.0819]",0,0,0.308497107818761,0,0.0664641774039548,"6","log-linear","cils","equal"
"119","(0.0819,0.202]",0.2,0.0252107263268334,0.556095462307641,2,0.14188116752583,"6","log-linear","cils","equal"
"120","(0.202,1]",0.4,0.121552258119827,0.737621923393055,4,0.600924540044801,"6","log-linear","cils","equal"
"121","[0,0.0194]",0,0,0.284914152918154,0,0.00970275547025401,"1","trafo","cils","equal"
"122","(0.0194,0.0588]",0,0,0.308497107818761,0,0.0390896689430859,"1","trafo","cils","equal"
"123","(0.0588,0.117]",0.1,0.00252857854446179,0.445016117028195,1,0.0881145268454342,"1","trafo","cils","equal"
"124","(0.117,1]",0.3,0.0667395111777345,0.652452850059997,3,0.558727613372602,"1","trafo","cils","equal"
"125","[0,0.0218]",0,0,0.284914152918154,0,0.010906275005915,"2","trafo","cils","equal"
"126","(0.0218,0.0468]",0,0,0.308497107818761,0,0.0343274169649524,"2","trafo","cils","equal"
"127","(0.0468,0.135]",0,0,0.308497107818761,0,0.0908673344349003,"2","trafo","cils","equal"
"128","(0.135,1]",0.5,0.187086028447399,0.812913971552601,5,0.567446192475863,"2","trafo","cils","equal"
"129","[0,0.0258]",0.0909090909090909,0.00229897221381427,0.412779916988383,1,0.0129069518881256,"3","trafo","cils","equal"
"130","(0.0258,0.0558]",0.2,0.0252107263268334,0.556095462307641,2,0.0407981619730716,"3","trafo","cils","equal"
"131","(0.0558,0.158]",0.1,0.00252857854446179,0.445016117028195,1,0.106689720582536,"3","trafo","cils","equal"
"132","(0.158,1]",0.5,0.187086028447399,0.812913971552601,5,0.57879851049759,"3","trafo","cils","equal"
"133","[0,0.0169]",0.0909090909090909,0.00229897221381427,0.412779916988383,1,0.00842527749792016,"4","trafo","cils","equal"
"134","(0.0169,0.0403]",0.1,0.00252857854446179,0.445016117028195,1,0.0285895455387408,"4","trafo","cils","equal"
"135","(0.0403,0.165]",0.4,0.121552258119827,0.737621923393055,4,0.102613785173472,"4","trafo","cils","equal"
"136","(0.165,1]",0.5,0.187086028447399,0.812913971552601,5,0.582449517132651,"4","trafo","cils","equal"
"137","[0,0.026]",0,0,0.284914152918154,0,0.0130030110133929,"5","trafo","cils","equal"
"138","(0.026,0.0553]",0,0,0.308497107818761,0,0.0406544501087966,"5","trafo","cils","equal"
"139","(0.0553,0.136]",0,0,0.308497107818761,0,0.0954290557518256,"5","trafo","cils","equal"
"140","(0.136,1]",0.3,0.0667395111777345,0.652452850059997,3,0.567777616656422,"5","trafo","cils","equal"
"141","[0,0.0282]",0,0,0.284914152918154,0,0.0141228909898369,"6","trafo","cils","equal"
"142","(0.0282,0.0776]",0,0,0.308497107818761,0,0.0529150974822705,"6","trafo","cils","equal"
"143","(0.0776,0.183]",0.2,0.0252107263268334,0.556095462307641,2,0.130443218744462,"6","trafo","cils","equal"
"144","(0.183,1]",0.4,0.121552258119827,0.737621923393055,4,0.591651012252028,"6","trafo","cils","equal"
"145","[0,0.0127]",0,0,0.284914152918154,0,0.00636611195704573,"1","linear","cimrsbinary","equal"
"146","(0.0127,0.0433]",0.1,0.00252857854446179,0.445016117028195,1,0.0280313885364077,"1","linear","cimrsbinary","equal"
"147","(0.0433,0.131]",0.1,0.00252857854446179,0.445016117028195,1,0.0869884011110463,"1","linear","cimrsbinary","equal"
"148","(0.131,1]",0.2,0.0252107263268334,0.556095462307641,2,0.565323124531684,"1","linear","cimrsbinary","equal"
"149","[0,0.0923]",0,0,0.284914152918154,0,0.0461536756659848,"2","linear","cimrsbinary","equal"
"150","(0.0923,0.139]",0,0,0.308497107818761,0,0.115659519045389,"2","linear","cimrsbinary","equal"
"151","(0.139,0.252]",0.2,0.0252107263268334,0.556095462307641,2,0.195423951206644,"2","linear","cimrsbinary","equal"
"152","(0.252,1]",0.3,0.0667395111777345,0.652452850059997,3,0.62591810782724,"2","linear","cimrsbinary","equal"
"153","[0,0.0127]",0,0,0.284914152918154,0,0.00634067574634301,"3","linear","cimrsbinary","equal"
"154","(0.0127,0.0375]",0.2,0.0252107263268334,0.556095462307641,2,0.0250744219708808,"3","linear","cimrsbinary","equal"
"155","(0.0375,0.0647]",0.3,0.0667395111777345,0.652452850059997,3,0.0511013509052433,"3","linear","cimrsbinary","equal"
"156","(0.0647,1]",0.4,0.121552258119827,0.737621923393055,4,0.532367604680705,"3","linear","cimrsbinary","equal"
"157","[0,0.148]",0.0909090909090909,0.00229897221381427,0.412779916988383,1,0.0740969462285843,"4","linear","cimrsbinary","equal"
