"","bin","prop","lwr","upr","cases","midpoint","spl","method","mod","weights"
"42","(0.387,0.491]",0.1,0.0222465037259115,0.423149021899173,1,0.129893577332024,"5","log-linear","cilsmrsbl","equal"
"43","(0.491,0.656]",0.166666666666667,0.0431471161190094,0.495398878551085,1.66666666666667,0.202605170146047,"5","log-linear","cilsmrsbl","equal"
"44","(0.656,1]",0.3,0.0983519646883319,0.624732936507757,3,0.625698552240522,"5","log-linear","cilsmrsbl","equal"
"45","[0,0.456]",0.0303030303030303,0.00380519971665994,0.323721102825157,0.333333333333333,0.0653449674102581,"6","log-linear","cilsmrsbl","equal"
"46","(0.456,0.558]",0.0666666666666667,0.011544681620366,0.388576233060539,0.666666666666667,0.156463658200409,"6","log-linear","cilsmrsbl","equal"
"47","(0.558,0.702]",0.233333333333333,0.0497638543303741,0.579577834242964,2.33333333333333,0.228259742244134,"6","log-linear","cilsmrsbl","equal"
"48","(0.702,1]",0.366666666666667,0.149517160356888,0.666137502308891,3.66666666666667,0.637141051453983,"6","log-linear","cilsmrsbl","equal"
"49","[0,0.379]",0.484848484848485,0.299715690558046,0.678384570264939,5.33333333333333,0.0465792667070173,"1","trafo","cilsmrsbl","equal"
"50","(0.379,0.436]",0.4,0.242045645680779,0.619077197120952,4,0.107030893990034,"1","trafo","cilsmrsbl","equal"
"51","(0.436,0.566]",0.5,0.273648080179422,0.725899842611498,5,0.155860934817691,"1","trafo","cilsmrsbl","equal"
"52","(0.566,1]",0.633333333333333,0.35858202715978,0.823940276202705,6.33333333333333,0.595409307534674,"1","trafo","cilsmrsbl","equal"
"53","[0,0.386]",0.0606060606060606,0.0104194510644535,0.360363181372237,0.666666666666667,0.0517214698776865,"2","trafo","cilsmrsbl","equal"
"54","(0.386,0.451]",0.0166666666666667,0.000421429757410298,0.331250276020333,0.166666666666667,0.121385341413304,"2","trafo","cilsmrsbl","equal"
"55","(0.451,0.572]",0.266666666666667,0.0907912487608747,0.587706488081275,2.66666666666667,0.173286711809169,"2","trafo","cilsmrsbl","equal"
"56","(0.572,1]",0.466666666666667,0.180477692149071,0.772231093743241,4.66666666666667,0.603622840273552,"2","trafo","cilsmrsbl","equal"
"57","[0,0.392]",0.181818181818182,0.047274742420708,0.496925931868713,2,0.0483221455466185,"3","trafo","cilsmrsbl","equal"
"58","(0.392,0.446]",0.166666666666667,0.0207911165774644,0.516615354293311,1.66666666666667,0.112658336243177,"3","trafo","cilsmrsbl","equal"
"59","(0.446,0.635]",0.3,0.118222100508642,0.604372859706804,3,0.182616283890929,"3","trafo","cilsmrsbl","equal"
"60","(0.635,1]",0.383333333333333,0.137659383452634,0.700482430581888,3.83333333333333,0.61828009319437,"3","trafo","cilsmrsbl","equal"
"61","[0,0.463]",0.212121212121212,0.0737163882240915,0.513865986059015,2.33333333333333,0.0709474486376463,"4","trafo","cilsmrsbl","equal"
"62","(0.463,0.483]",0.166666666666667,0.027291150961871,0.509921750717131,1.66666666666667,0.150648979700163,"4","trafo","cilsmrsbl","equal"
"63","(0.483,0.653]",0.3,0.0783094356323317,0.642758862400248,3,0.18739328425963,"4","trafo","cilsmrsbl","equal"
"64","(0.653,1]",0.383333333333333,0.128891066723105,0.708073359740534,3.83333333333333,0.607691753197113,"4","trafo","cilsmrsbl","equal"
"65","[0,0.385]",0.136363636363636,0.0490018886387086,0.430318512863555,1.5,0.0522511238770262,"5","trafo","cilsmrsbl","equal"
"66","(0.385,0.487]",0.1,0.0222465037259115,0.423149021899173,1,0.126037628726694,"5","trafo","cilsmrsbl","equal"
"67","(0.487,0.65]",0.166666666666667,0.0431471161190094,0.495398878551085,1.66666666666667,0.193090166683273,"5","trafo","cilsmrsbl","equal"
"68","(0.65,1]",0.3,0.0983519646883319,0.624732936507757,3,0.619303661833606,"5","trafo","cilsmrsbl","equal"
